title,release_date,platform,category,imdb_id,imdb_url,imdb_title,imdb_year,imdb_plot,imdb_director,imdb_actors,imdb_rating,imdb_poster,last_updated
Kalinga,04 Oct 2024,Aha,Film,tt32880190,https://www.imdb.com/title/tt32880190/,Kalinga,2024,"A protagonist encounters terrifying events, uncovering a sinister mystery lurking beneath the surface.",Dhruva Vaayu,"Dhruva Vaayu, Pragya Nayan, Aadukalam Naren",9.0,https://m.media-amazon.com/images/M/MV5BNWI4ZGYzMmYtNTIyNS00OWIzLWEyNzctNzUwY2RjNTc2NjNhXkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:50:34.057729
Bhale Unnade,03 Oct 2024,ETV Win,Film,tt32089590,https://www.imdb.com/title/tt32089590/,Bhale Unnade,2024,,Siva Sai Vardhan,"Raj Tarun, Manisha Kandkur",N/A,https://m.media-amazon.com/images/M/MV5BN2ZiMmEzODktYmZhNi00NTdlLTljNGMtM2M0NGJmMjFkY2M1XkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:50:34.299998
35,02 Oct 2024,Aha,Film,tt1100048,https://www.imdb.com/title/tt1100048/,35 Shots of Rum,2008,The relationship between a father and daughter is complicated by the arrival of a handsome young man.,Claire Denis,"Alex Descas, Mati Diop, Nicole Dogué",7.1,https://m.media-amazon.com/images/M/MV5BZDM4OGFlZGEtNTQyNy00NDFhLTk3OGEtZWVmNmFmNTNhNDJkXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg,2024-10-15T23:50:34.587542
Demonte Colony 2,27 Sep 2024,Zee5,Film,tt25151410,https://www.imdb.com/title/tt25151410/,Demonte Colony 2,2024,"A group of friends who return to a cursed location, driven by curiosity and the quest to uncover the truth behind the malevolent spirits that reside there.",R. Ajay Gnanamuthu,"VJ Archana, Arulnithi, C. Arunpandian",7.8,https://m.media-amazon.com/images/M/MV5BNzRkZDEzYjgtMTkwZC00MDk5LWJjNDUtZDg1Yjc1MWRjMzhmXkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:50:34.826650
Alanaati Ramachandrudu,27 Sep 2024,Prime Video,Film,tt31939390,https://www.imdb.com/title/tt31939390/,Alanaati Ramachandrudu,2024,"Siddhu an ambivert guy, loves Dharani an extrovert girl, but hesitates to express his love due to his perceived boredom. Unexpectedly, he uses a lie to express his love,will he make use of it and make his love life success?",Chilukuri Akash Reddy,"Krishna Vamsi, Mokksha, Brahmaji",9.0,https://m.media-amazon.com/images/M/MV5BNGYzMTVmNmMtMmU3My00MmQwLTk2ZTQtNWM4MzAwMzk3NzkxXkEyXkFqcGdeQXVyMTQ2NTg1MzAz._V1_SX300.jpg,2024-10-15T23:50:35.082263
Prathinidi 2,27 Sep 2024,Aha,Film,,,,,,,,,,
Saripodhaa Sanivaaram,26 Sep 2024,Netflix,Film,tt26903104,https://www.imdb.com/title/tt26903104/,Saripodhaa Sanivaaram,2024,"In order to defend the innocent from a corrupt and brutal cop, a vigilante hero must work around his own self-imposed code of honor.",Vivek Athreya,"Nani, S.J. Suryah, Priyanka Arulmohan",7.3,https://m.media-amazon.com/images/M/MV5BMzM5MmFmYTMtNWFlYi00NjJiLWJkYmMtZGQzMWE3YmVlNjc2XkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:50:35.578719
Chapra Murder Case,26 Sep 2024,Aha,Film,,,,,,,,,,
RTI,26 Sep 2024,ETV Win,Film,tt33500127,https://www.imdb.com/title/tt33500127/,RTI,2024,Handicapped lawyer and her father unravel a conspiracy while fighting a case related to a suicide that exposed the RTI Act. Their mission sees them tackle challenges.,Suresh Krissna,"Rama Rao Jadhav, Kota Jayaram, Meka Rama Krishna",N/A,https://m.media-amazon.com/images/M/MV5BODIzMmE1YmMtNDFlZC00MWQyLWI4N2EtMGYwZmQwNTgwYjBlXkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:50:36.064987
Kill (Telugu),24 Sep 2024,Disney+ Hotstar,Film,,,,,,,,,,
Maruthi Nagar Subramanyam,20 Sep 2024,Aha,Film,tt31712109,https://www.imdb.com/title/tt31712109/,Maruthi Nagar Subramanyam,2024,"A father and son experience a sudden influx of wealth in their bank account, leading to comical mishaps and carefree escapades as they navigate their newfound riches.",Lakshman Karya,"Ajay, Annapurnamma, Indraja",8.5,https://m.media-amazon.com/images/M/MV5BZDkyZjc1ZmMtZjRkZS00NzY5LWJmNTUtMDRlMGIzNWM3NWIyXkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:50:36.480851
Pekamedalu,20 Sep 2024,Prime Video,Film,tt28444513,https://www.imdb.com/title/tt28444513/,Pekamedalu,2023,,Neelagiri Mamilla,"Vinoth Kishan, Anoosha Krishna",N/A,https://m.media-amazon.com/images/M/MV5BMGVhOGFmNjUtMTk1Mi00NjRlLWJlZmYtMmE2YzI4MmM4NDA4XkEyXkFqcGdeQXVyMTUzNTgzNzM0._V1_SX300.jpg,2024-10-15T23:50:36.730954
Thiragabadara Saami,19 Sep 2024,Aha,Film,tt23875402,https://www.imdb.com/title/tt23875402/,Thiragabadara Saami,2024,"A young couple's altercation with a mafia henchman draws the ire of a powerful crime boss, plunging them into a dangerous game of survival.",A.S. Ravi Kumar Chowdary,"Raj Tarun, Malvi Malhotra, Makrand Deshpande",N/A,N/A,2024-10-15T23:50:37.185220
Suraapanam,19 Sep 2024,ETV Win,Film,tt20413120,https://www.imdb.com/title/tt20413120/,Suraapanam,2022,"Drinking 'Suraapanam' let's Shiva turn into an old man, a young boy and a kid everyday. Will there be any consequences? How will he deal with them?",Sampath Kumar,"Sampath Kumar, Pragya Nayan, Fish Venkat",8.4,https://m.media-amazon.com/images/M/MV5BZWE3NWM0OTYtYzdiMi00ZDM4LThjYTYtMDAzOWJkMGU4MjdjXkEyXkFqcGdeQXVyOTc2MTgwNjY@._V1_SX300.jpg,2024-10-15T23:50:37.450099
Sopathulu,19 Sep 2024,ETV Win,Film,tt33291312,https://www.imdb.com/title/tt33291312/,Sopathulu,2024,,Ananth Vardhan,"Mani Aegurla, Mohan Bagath, Ravinder Bommakanti",N/A,https://m.media-amazon.com/images/M/MV5BMzliYTFlMTQtMTY0NC00YzRlLThkZWMtMmY1ZWM1OWYyNjU2XkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:50:37.856962
Parakramam,14 Sep 2024,Aha,Film,tt28743776,https://www.imdb.com/title/tt28743776/,Parakramam,2024,"The film's story revolves around the life of Lovaraju, a theatre artist and a gully cricketer in a village named Lampakalova.",Bandi Saroj Kumar,"Bandi Saroj Kumar, Mohan Senapathi",N/A,https://m.media-amazon.com/images/M/MV5BYTYxMDRiNWQtMzMyZi00MDdlLTk1YjUtNWU1MzFmNTA0MzA3XkEyXkFqcGdeQXVyNjA2NTk2Mjc@._V1_SX300.jpg,2024-10-15T23:50:38.093995
Aay,12 Sep 2024,Netflix,Film,tt28359277,https://www.imdb.com/title/tt28359277/,#AAY,2024,"When a man comes home between covid lockdowns, he connects with old friends and falls for a woman who feels influenced by her caste, while finding love.",Kanchipally Anji Babu,"Rajkumar Kasireddy, Srivani Tripuraneni, Krishna Chaitanya",6.5,https://m.media-amazon.com/images/M/MV5BMTc2NzI1OGMtMjRiOC00MzNjLWJlNmQtZWMwNmIwYmY4MGJiXkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:50:38.339265
Mr. Bachchan,12 Sep 2024,Netflix,Film,tt28282872,https://www.imdb.com/title/tt28282872/,Mr. Bachchan,2024,"A straight-laced income tax officer suspended due to his unwavering honesty returns to his hometown and falls in love with a woman who reciprocates his feelings, before he is reinstated and tasked with raiding the home of a powerf...",Harish Shankar,"Ravi Teja, Bhagyashri Borse, Vennela Kishore",3.6,https://m.media-amazon.com/images/M/MV5BMDU0YzM2ZmUtMmQyMC00YjQ3LThjMjYtNTBhZTFmYWQ5MWEwXkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:50:38.587126
Committee Kurrollu,12 Sep 2024,ETV Win,Film,tt29959142,https://www.imdb.com/title/tt29959142/,Committee Kurrollu,2024,"In a peaceful West Godavari village, the harmony of a close-knit friend group is disrupted when a disagreement leads to an unexpected fallout, impacting their lives and the tranquility of their community.",Yadu Vamsi,"Prasad Behra, Ramana Bhargav, Kota Jayaram",8.7,https://m.media-amazon.com/images/M/MV5BOGFmNWE0ZjMtZDFlNy00YzY1LThlZDItZThmNTg3YjRjN2E0XkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:50:38.828565
Aaha,12 Sep 2024,Aha,Film,tt10501764,https://www.imdb.com/title/tt10501764/,Aaha,2021,Aaha is a sports drama film based on the game tug of war.,Bibin Paul Samuel,"Indrajith Sukumaran, Santhy Balachandran, Amith Chakalakkal",6.2,https://m.media-amazon.com/images/M/MV5BMGYxYzM5MTQtZGE5MC00MTQyLWIyOTktNDg0ZGUwZmMxNjQ1XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_SX300.jpg,2024-10-15T23:50:39.078866
Satya,07 Sep 2024,Aha,Film,tt0195231,https://www.imdb.com/title/tt0195231/,Satya,1998,An innocent man is embroiled in underworld after being falsely charged and sets out to punish the perpetrators who subjected his life to misery.,Ram Gopal Varma,"J.D. Chakravarthi, Manoj Bajpayee, Urmila Matondkar",8.3,https://m.media-amazon.com/images/M/MV5BMTMwMjk3MzA2OF5BMl5BanBnXkFtZTcwNjU2ODgzMQ@@._V1_SX300.jpg,2024-10-15T23:50:39.442255
Nindha,06 Sep 2024,ETV Win,Film,tt32178794,https://www.imdb.com/title/tt32178794/,Nindha,2024,Follows six murder case suspects who get kidnapped and an officer's quest to find the truth.,Rajesh Jagannadham,"Durga Abhishek, Annie, Bhadram",9.0,https://m.media-amazon.com/images/M/MV5BZDkwNzJhNDMtOTJlNy00NjdjLTliMTktYjU2NzcxYzFjZWNjXkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:50:39.795153
Simbaa,06 Sep 2024,Aha,Film,tt15576884,https://www.imdb.com/title/tt15576884/,Simbaa,2024,"Environmental activist Purushottam Reddy, alias Simbaa, wages a battle against industrial pollution. Saving three lives sparks their gratitude journey, fueling a quest to bring justice against nature's adversaries.",Murali Manohar Reddy,"Rajiv Kumar Aneja, Jagapathi Babu, Anasuya Bharadwaj",N/A,https://m.media-amazon.com/images/M/MV5BYzZjNDM0ZjMtYzVmYi00NTk5LTg3Y2UtZDQ1MTUzMjQ4MjE4XkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:50:40.050158
Double iSmart,05 Sep 2024,Prime Video,Film,tt27610677,https://www.imdb.com/title/tt27610677/,Double Ismart,2024,"When a dead police officer's memories are transplanted to his brain, an assassin assists the authorities.",Puri Jagannadh,"Ram Pothineni, Sanjay Dutt, Kavya Thapar",4.0,https://m.media-amazon.com/images/M/MV5BZDdiMWQyMzYtOTI1ZS00NGYyLWEzYWUtYmRiZDYxNDhlMzM0XkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:50:40.304747
Bhargavi Nilayam,05 Sep 2024,Aha,Film,tt0213512,https://www.imdb.com/title/tt0213512/,Bhargavi Nilayam,1964,An enthusiastic and talented novelist (Madhu) comes to stay in a desolate mansion named Bhargavi Nilayam. The novelist and his servant Cheriya Pareekkanni (Adoor Bhasi) experience the presence of a strange entity here. They come t...,A. Vincent,"Madhu, Vijaya Nirmala, Prem Nazir",7.9,https://m.media-amazon.com/images/M/MV5BZGJmZjBlNDYtMWY0Ni00NTcyLWE3ZWEtMWMyOTYwMWU5Y2M3XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_SX300.jpg,2024-10-15T23:50:40.553238
Sarangadhariya,31 Aug 2024,Aha,Film,tt32080090,https://www.imdb.com/title/tt32080090/,Sarangadhariya,2024,"Krishna's family deals with sons' unemployment, daughter's marriage prospects. A hidden secret emerges, challenging their unity. They navigate this crisis while reflecting societal issues.",Padmarao Abbisetti,"Srikanta Ayangar, L.V. Prasad CH, Neela Priya Devulapalli",N/A,https://m.media-amazon.com/images/M/MV5BNDBhMDQ5NWUtY2Y0Ny00ZGQwLThmYjktMzQzYTQ4NDk1NGU1XkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:50:40.800724
Shivam Bhaje,30 Aug 2024,Prime Video,Film,tt31711525,https://www.imdb.com/title/tt31711525/,Shivam Bhaje,2024,"A humble loan agent finds himself caught up in a global conspiracy to cause devastation in India. An accident triggers visions of crime and a serial killer, compelling him to unravel a larger mystery and prevent an impending catas...",Apsar,"Hyper Aadi, Darbha Appaji Ambarisha, Ashwin Babu",8.3,https://m.media-amazon.com/images/M/MV5BNDU3YzRhYTItYWQzZC00Mjc5LWI4YzgtNDYyNTY1ODc4ZjE3XkEyXkFqcGdeQXVyMTUzNTgzNzM0._V1_SX300.jpg,2024-10-15T23:50:40.974015
Buddy,30 Aug 2024,Netflix,Film,tt0371589,https://www.imdb.com/title/tt0371589/,Buddy,2003,"Kristoffer is a billboard hanger, 24 years old and carefree. When his girlfriend Elisabeth dumps him for the boss of her trend bureau, his life falls into pieces. He feels like a loser. By coincidence some of Kristoffer's video di...",Morten Tyldum,"Nicolai Cleve Broch, Aksel Hennie, Anders Baasmo",6.8,https://m.media-amazon.com/images/M/MV5BMjAzMjIzMzkxOV5BMl5BanBnXkFtZTcwMDkzMjA0MQ@@._V1_SX300.jpg,2024-10-15T23:50:41.237172
Honeymoon Express,27 Aug 2024,Prime Video,Film,tt30779704,https://www.imdb.com/title/tt30779704/,Honeymoon Express,2024,"A futuristic romantic comedy about today's love, marriage and divorce issues. A humorous and satirical narrative with surrealist twists and nail biting suspense.",Bala Rajasekharuni,"Chaitanya Rao, Hebah Patel, Suhasini",8.6,https://m.media-amazon.com/images/M/MV5BNmQzOWYyNGUtNWY5OS00MmI1LThiOTUtMDY5OTA0YmZhYjIzXkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:50:41.484471
Prabuthwa Junior Kalashala,27 Aug 2024,Aha,Film,tt32505165,https://www.imdb.com/title/tt32505165/,Prabuthwa Junior Kalashala,2024,"Vasu, a boy hailing from a humble village and belonging to a lower-middle-class family, emerges as the top student in his college. However, everything changes when he notices the name ""Kumari"" written on the college walls.",Sreenath Pulakuram,"Teja Goud, Mallika Jagula, Bombay Padma",N/A,https://m.media-amazon.com/images/M/MV5BMzE2YjQ4NWItYmY5OC00NzZlLWEwOTUtNzA0NmIyMmFjMWQ3XkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:50:41.741742
Raayan,23 Aug 2024,Prime Video,Film,tt26233598,https://www.imdb.com/title/tt26233598/,Raayan,2024,"A series of unfortunate events lead Raayan, a simpleton to be dragged into the dreaded world of crime and manipulation.",Dhanush,"Dhanush, Aparna Balamurali, Devadarshini Chetan",6.9,https://m.media-amazon.com/images/M/MV5BMWQyMTNjYjItNjJjZS00NWY5LWJmZTgtNjBmNGVlOWYwZDY1XkEyXkFqcGdeQXVyMTQ4MTg3Njcx._V1_SX300.jpg,2024-10-15T23:50:41.890790
Toofan,23 Aug 2024,Prime Video,Film,tt30415138,https://www.imdb.com/title/tt30415138/,Toofan,2024,Follows a born killer who rises to power and becomes the biggest don.,Raihan Rafi,"Shakib Khan, Mimi Chakraborty, Masuma Rahman Nabila",8.1,https://m.media-amazon.com/images/M/MV5BNTE0MGVkOTEtYTQzMC00ZGQ5LWEzN2ItZGNkMTgzOTg3MDI2XkEyXkFqcGdeQXVyMTMyMTM0Mzcz._V1_SX300.jpg,2024-10-15T23:50:42.139844
Kalki 2898 AD,22 Aug 2024,Prime Video,Film,tt12735488,https://www.imdb.com/title/tt12735488/,Kalki 2898 AD,2024,The future of those in the dystopian city of Kasi is altered when the destined arrival of Lord Vishnu's final avatar launches a war against darkness.,Nag Ashwin,"Prabhas, Amitabh Bachchan, Kamal Haasan",7.1,https://m.media-amazon.com/images/M/MV5BMTM3ZGUwYTEtZTI5NS00ZmMyLTk2YmQtMWU4YjlhZTI3NjRjXkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:50:42.404155
Kaalarathri,17 Aug 2024,Aha,Film,,,,,,,,,,
Veeranjaneyulu Viharayathra,14 Aug 2024,ETV Win,Film,,,,,,,,,,
Darling,13 Aug 2024,Disney+ Hotstar,Film,tt0059084,https://www.imdb.com/title/tt0059084/,Darling,1965,Beautiful but amoral model Diana Scott sleeps her way to the top of the London fashion scene at the height of the Swinging Sixties.,John Schlesinger,"Julie Christie, Dirk Bogarde, Laurence Harvey",7.0,https://m.media-amazon.com/images/M/MV5BMTgzMGM0ZWItOWE1OC00MGEzLWE3ZjEtYWE3MTM1YjAwNjdkXkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:50:43.215961
Blink (Telugu),12 Aug 2024,Prime Video,Film,,,,,,,,,,
Derick Abraham,10 Aug 2024,Aha,Film,,,,,,,,,,
The Birthday Boy,09 Aug 2024,Aha,Film,tt32566980,https://www.imdb.com/title/tt32566980/,The Birthday Boy,2024,"Five childhood friends went abroad to pursue higher education. While celebrating one of their friend's birthday, an incident happens which turns their lives upside down. The whole story revolves around the incident. Based on a Tru...",Whisky,"Ravi Krishna, Sameer Malla, Rajeev Kanakala",9.2,https://m.media-amazon.com/images/M/MV5BNjk0NjM5ZjgtOWQ5MS00ZWUwLTk1NmYtMDYxODg2NDcxYzY2XkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:50:43.948835
Bharateeyudu 2,09 Aug 2024,Netflix,Film,,,,,,,,,,
D Block,08 Aug 2024,ETV Win,Film,tt15097344,https://www.imdb.com/title/tt15097344/,D Block,2022,A young engineering student along with his friends unravels the mystery around his college where several girls go missing and dead.,Vijay Kumar Rajendran,"Aashiq, Rj Ananthi, Archana",5.5,https://m.media-amazon.com/images/M/MV5BODljMDhhYjktNzM1Yy00YTRlLWFiOWYtNTlkNGVjYmQ4ZDYzXkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:50:44.433257
Theppa Samudram,03 Aug 2024,Aha,Film,tt31646879,https://www.imdb.com/title/tt31646879/,Theppa Samudram,2024,"Missing schoolgirls in Theppa Samudram village. SI Ganesh investigates, suspecting his father's involvement in the disappearances",Sateesh Rapolu,"Arjun Ambati, Kishori Datrak, Chaitanya Rao",N/A,https://m.media-amazon.com/images/M/MV5BNTFlMmMxYzEtOGE1Ni00ZTRhLTlhODEtODE0ZGQzOTc3MGU2XkEyXkFqcGdeQXVyMTIxMTQ3MDAx._V1_SX300.jpg,2024-10-15T23:50:44.667980
Brinda,02 Aug 2024,Sony LIV,Series,tt15722548,https://www.imdb.com/title/tt15722548/,Brinda,2024–,"A police officer becomes a ray of hope in the darkness of injustice and crime. While investigating, she unfolds various mysteries which challenge the longstanding societal beliefs and rituals. A story about fighting for good again...",N/A,"Trisha Krishnan, Ravindra Vijay, Aamani",7.3,https://m.media-amazon.com/images/M/MV5BZWM3MTZiZTAtYjhjYy00MWQxLTk1NjItMGQ3YzIzMjZlOTdiXkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:50:44.915291
Satyabhama,02 Aug 2024,ETV Win,Film,tt28101019,https://www.imdb.com/title/tt28101019/,Satyabhama,2024,"ACP Satyabhama investigates a missing person case, uncovering dark secrets across shadowy towns. Her past haunts her as she races to find the truth and redemption amidst the high-stakes investigation.",Suman Chikkala,"Kajal Aggarwal, Naveen Chandra, Prakash Raj",6.2,https://m.media-amazon.com/images/M/MV5BZWM5ZWRjMjItNjdiOC00YTdkLTlkZTgtM2U4MDU0MTg4OGUxXkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:50:45.172924
Rakshana,01 Aug 2024,Aha,Film,tt32423978,https://www.imdb.com/title/tt32423978/,Rakshana,2024,"ACP Kiran goes beyond the set of rules and heeds her gut only to realize the system doesn't take her instincts seriously. Notwithstanding the rules she walks into complex and intriguing situations,finding unusual answers to usual ...",Prandeep Thakore,"Vinod Bala, Rajeev Kanakala, Maanas Nagulapalli",6.0,https://m.media-amazon.com/images/M/MV5BZGY4NjNkMmItZjFkZC00MjdkLTlkNzctNWUyM2UwNjFmZmYxXkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:50:45.410428
Bharathanatyam,27 July 2024,Aha,Film,tt29261748,https://www.imdb.com/title/tt29261748/,Bharathanatyam,2024,"With the unexpected turn in his life, when an assistant director Raju Sundaram falls into the crime world, he over smarts criminals to escape from a deadly situation. Cinema is the most beautiful Fraud in the world.",K.V.R. Mahendra,"Surya Teja Aelay, Krishna Alluri, Santosh Balakrishna",6.3,https://m.media-amazon.com/images/M/MV5BYjczYzE5NWMtMzhkOS00N2E0LWI0NTktMDM1NWIwNjM4YWE0XkEyXkFqcGdeQXVyMTQ2NTg1MzAz._V1_SX300.jpg,2024-10-15T23:50:45.656221
Yevam,25 July 2024,Aha,Film,tt32284140,https://www.imdb.com/title/tt32284140/,Yevam,2024,"In the small town of Vikarabad, a female police officer Soumya, who is determined to prove herself, is paired with a sincere PoliceOfficer Abhiram, to unravel the sinister motives of Yugandhar who has a wishlist of young fan girls...",Prakash Dantuluri,"Chandini Chowdary, Kalpitha, Ramesh Konambhotla",8.1,https://m.media-amazon.com/images/M/MV5BMjg1NmQ4NjgtYTZhYy00YjY3LThjN2MtMWU3NjQzNTc3OGQzXkEyXkFqcGdeQXVyMTQyODQxOTc2._V1_SX300.jpg,2024-10-15T23:50:45.906746
Kho Kho,25 July 2024,ETV Win,Film,tt12988104,https://www.imdb.com/title/tt12988104/,Kho Kho,2021,Malayalam Feature Film based on the Indian tag sport Kho-Kho. The film is written and directed by Rahul Riji Nair and is produced by First Print Studios. Rajisha Vijayan plays the central protagonist in the film.,Rahul Riji Nair,"Rajisha Vijayan, Mamitha Baiju, Geethi Sangeetha",5.9,https://m.media-amazon.com/images/M/MV5BZGRkODQ1NjItOWI3MS00OGZmLTk3MGYtMzFjOWM5NjVlOGQ3XkEyXkFqcGdeQXVyNjAyMzMzNjA@._V1_SX300.jpg,2024-10-15T23:50:46.426015
Raju Yadav,24 July 2024,Aha,Film,tt26234798,https://www.imdb.com/title/tt26234798/,Raju Yadav,2024,"A young man whose life goes for a toss after he suffers an accident. Raju develops a rare facial disorder, compelling him to smile incessantly. This affliction plunges his life into misery, particularly when he falls for Sweety",Krishnamachary,"Chakrapani Ananda, R.J. Hemant, Santosh Kalwacherla",N/A,https://m.media-amazon.com/images/M/MV5BYjUxMmNhZWUtMTg3Ni00MzJjLTkyNjctOWQxZmIwYTE5ZWIxXkEyXkFqcGdeQXVyMTQ2NTg1MzAz._V1_SX300.jpg,2024-10-15T23:50:46.669962
Aadujeevitham (Telugu),19 July 2024,Netflix,Film,,,,,,,,,,
Hot Spot (Telugu),17 July 2024,Aha,Film,,,,,,,,,,
Harom Hara,16 July 2024,Aha & ETV Win,Film,tt27726727,https://www.imdb.com/title/tt27726727/,Harom Hara,2024,"Man loses job, faces financial ruin. Desperate, he enters illegal arms trade, eventually becoming South India's most notorious arms lord as his involvement deepens.",Gnanasagar Dwaraka,"Sudheer Babu Posani, Sunil, Malvika Sharma",8.5,https://m.media-amazon.com/images/M/MV5BZGViMTZiMzUtZTNlMi00ZDc3LTkzNTYtZGIzOTk4MDczODMyXkEyXkFqcGc@._V1_SX300.jpg,2024-10-15T23:50:47.340755
